GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Rides24,com.objectdb.o,STR,86,0,12,0,27,0,16,0,10,0
Rides24,com.objectdb.o,QPR,1576,0,230,0,431,0,140,0,25,0
Rides24,com.objectdb.o,STT,57,0,14,0,15,0,12,0,5,0
Rides24,com.objectdb.o,STS,131,0,14,0,31,0,11,0,4,0
Rides24,com.objectdb.o,_PersistenceException,38,0,2,0,13,0,7,0,6,0
Rides24,com.objectdb.o,STH,712,0,92,0,176,0,90,0,44,0
Rides24,com.objectdb.o,STL,142,0,10,0,32,0,12,0,7,0
Rides24,com.objectdb.o,STA,733,0,118,0,214,0,103,0,44,0
Rides24,com.objectdb.o,STD,167,0,12,0,45,0,13,0,6,0
Rides24,com.objectdb.o,STC,729,0,45,0,197,0,53,0,22,0
Rides24,com.objectdb.o,SST,107,0,14,0,24,0,16,0,8,0
Rides24,com.objectdb.o,SSV,67,0,8,0,16,0,12,0,8,0
Rides24,com.objectdb.o,IXM.new Thread() {...},40,0,0,0,7,0,2,0,2,0
Rides24,com.objectdb.o,_JdoDataStoreException,38,0,0,0,15,0,6,0,6,0
Rides24,com.objectdb.o,SSL,291,0,30,0,83,0,27,0,12,0
Rides24,com.objectdb.o,SSS,1167,0,110,0,284,0,90,0,35,0
Rides24,com.objectdb.o,SLV.U,15,0,0,0,6,0,3,0,3,0
Rides24,com.objectdb.o,BYW,1246,0,134,0,317,0,118,0,51,0
Rides24,com.objectdb.o,_JdoReadOnlyException,26,0,0,0,10,0,5,0,5,0
Rides24,com.objectdb.o,IHS.A,39,0,2,0,11,0,8,0,7,0
Rides24,com.objectdb.o,BYP,47,0,2,0,20,0,10,0,9,0
Rides24,com.objectdb.o,BYR,1192,0,119,0,294,0,127,0,67,0
Rides24,com.objectdb.o,MNL,109,0,10,0,29,0,11,0,6,0
Rides24,com.objectdb.o,ORN,48,0,8,0,17,0,7,0,3,0
Rides24,com.objectdb.o,CMN.aG,22,0,2,0,7,0,6,0,5,0
Rides24,com.objectdb.o,CMN.aH,22,0,2,0,7,0,6,0,5,0
Rides24,com.objectdb.o,CMN.aE,22,0,2,0,7,0,6,0,5,0
Rides24,com.objectdb.o,ORB,258,0,12,0,56,0,12,0,6,0
Rides24,com.objectdb.o,CMN.aF,22,0,2,0,7,0,6,0,5,0
Rides24,com.objectdb.o,IOM.B,66,0,4,0,14,0,10,0,8,0
Rides24,com.objectdb.o,ORF,156,0,26,0,31,0,20,0,7,0
Rides24,com.objectdb.o,CLC.i,9,0,0,0,4,0,1,0,1,0
Rides24,com.objectdb.o,_JdoFatalUserException,28,0,0,0,11,0,5,0,5,0
Rides24,com.objectdb.o,CMN.aC,48,0,10,0,13,0,11,0,6,0
Rides24,com.objectdb.o,CMN.aD,23,0,4,0,7,0,7,0,5,0
Rides24,com.objectdb.o,CMN.aA,45,0,10,0,11,0,10,0,5,0
Rides24,com.objectdb.o,CMN.aB,21,0,4,0,6,0,6,0,4,0
Rides24,com.objectdb.o,MMM,1899,0,193,0,408,0,140,0,43,0
Rides24,com.objectdb.o,SYR,695,0,81,0,177,0,58,0,17,0
Rides24,com.objectdb.o,MMN,123,0,10,0,35,0,10,0,5,0
Rides24,com.objectdb.o,QUO,289,0,20,0,62,0,18,0,8,0
Rides24,com.objectdb.o,QUN,388,0,58,0,98,0,73,0,44,0
